Country,Postcode
ABERDEENSHIRE,AB1
ABERDEENSHIRE,AB2
ABERDEENSHIRE,AB3
ABERDEENSHIRE,AB23
ABERDEENSHIRE,AB30
ABERDEENSHIRE,AB31
ABERDEENSHIRE,AB32
ABERDEENSHIRE,AB33
ABERDEENSHIRE,AB34
ABERDEENSHIRE,AB35
ABERDEENSHIRE,AB36
ABERDEENSHIRE,AB41
ABERDEENSHIRE,AB42
ABERDEENSHIRE,AB43
ABERDEENSHIRE,AB44
ABERDEENSHIRE,AB45
ABERDEENSHIRE,AB51
ABERDEENSHIRE,AB52
ABERDEENSHIRE,AB53
ABERDEENSHIRE,AB54
ABERDEENSHIRE,AB55
ABERDEENSHIRE,DD9
ABERDEENSHIRE,DD10
ANGUS,DD2
ANGUS,DD3
ANGUS,DD4
ANGUS,DD5
ANGUS,DD7
ANGUS,DD8
ANGUS,DD9
ANGUS,DD10
ANGUS,DD11
ANGUS,PH11
ANGUS,PH12
ARGYLL AND BUTE,FK17
ARGYLL AND BUTE,G82
ARGYLL AND BUTE,G83
ARGYLL AND BUTE,G84
ARGYLL AND BUTE,PA20
ARGYLL AND BUTE,PA21
ARGYLL AND BUTE,PA22
ARGYLL AND BUTE,PA23
ARGYLL AND BUTE,PA24
ARGYLL AND BUTE,PA25
ARGYLL AND BUTE,PA26
ARGYLL AND BUTE,PA27
ARGYLL AND BUTE,PA28
ARGYLL AND BUTE,PA29
ARGYLL AND BUTE,PA30
ARGYLL AND BUTE,PA31
ARGYLL AND BUTE,PA32
ARGYLL AND BUTE,PA33
ARGYLL AND BUTE,PA34
ARGYLL AND BUTE,PA35
ARGYLL AND BUTE,PA36
ARGYLL AND BUTE,PA37
ARGYLL AND BUTE,PA38
ARGYLL AND BUTE,PA41
ARGYLL AND BUTE,PA42
ARGYLL AND BUTE,PA43
ARGYLL AND BUTE,PA44
ARGYLL AND BUTE,PA45
ARGYLL AND BUTE,PA46
ARGYLL AND BUTE,PA47
ARGYLL AND BUTE,PA48
ARGYLL AND BUTE,PA49
ARGYLL AND BUTE,PA60
ARGYLL AND BUTE,PA61
ARGYLL AND BUTE,PA62
ARGYLL AND BUTE,PA63
ARGYLL AND BUTE,PA64
ARGYLL AND BUTE,PA65
ARGYLL AND BUTE,PA66
ARGYLL AND BUTE,PA67
ARGYLL AND BUTE,PA68
ARGYLL AND BUTE,PA70
ARGYLL AND BUTE,PA71
ARGYLL AND BUTE,PA72
ARGYLL AND BUTE,PA73
ARGYLL AND BUTE,PA74
ARGYLL AND BUTE,PA75
ARGYLL AND BUTE,PA76
ARGYLL AND BUTE,PA77
ARGYLL AND BUTE,PA78
CLACKMANNANSHIRE,FK10
CLACKMANNANSHIRE,FK11
CLACKMANNANSHIRE,FK12
CLACKMANNANSHIRE,FK13
CLACKMANNANSHIRE,FK14
DUMFRIES AND GALLOWAY,DG1
DUMFRIES AND GALLOWAY,DG2
DUMFRIES AND GALLOWAY,DG3
DUMFRIES AND GALLOWAY,DG4
DUMFRIES AND GALLOWAY,DG5
DUMFRIES AND GALLOWAY,DG6
DUMFRIES AND GALLOWAY,DG7
DUMFRIES AND GALLOWAY,DG8
DUMFRIES AND GALLOWAY,DG9
DUMFRIES AND GALLOWAY,DG10
DUMFRIES AND GALLOWAY,DG11
DUMFRIES AND GALLOWAY,DG12
DUMFRIES AND GALLOWAY,DG13
DUMFRIES AND GALLOWAY,DG14
DUMFRIES AND GALLOWAY,DG16
DUMFRIES AND GALLOWAY,KA6
DUMFRIES AND GALLOWAY,ML12
DUNDEE,DD1
DUNDEE,DD2
DUNDEE,DD3
DUNDEE,DD5
EAST AYRSHIRE,DG7
EAST AYRSHIRE,KA1
EAST AYRSHIRE,KA2
EAST AYRSHIRE,KA3
EAST AYRSHIRE,KA4
EAST AYRSHIRE,KA5
EAST AYRSHIRE,KA6
EAST AYRSHIRE,KA7
EAST AYRSHIRE,KA8
EAST AYRSHIRE,KA9
EAST AYRSHIRE,KA10
EAST AYRSHIRE,KA11
EAST AYRSHIRE,KA12
EAST AYRSHIRE,KA13
EAST AYRSHIRE,KA14
EAST AYRSHIRE,KA15
EAST AYRSHIRE,KA16
EAST AYRSHIRE,KA17
EAST AYRSHIRE,KA18
EAST AYRSHIRE,KA19
EAST AYRSHIRE,KA20
EAST AYRSHIRE,KA21
EAST AYRSHIRE,KA22
EAST AYRSHIRE,KA23
EAST AYRSHIRE,KA24
EAST AYRSHIRE,KA25
EAST AYRSHIRE,KA26
EAST AYRSHIRE,KA27
EAST AYRSHIRE,KA28
EAST AYRSHIRE,KA29
EAST AYRSHIRE,KA30
EAST AYRSHIRE,PA17
EAST DUNBARTONSHIRE,G60
EAST DUNBARTONSHIRE,G61
EAST DUNBARTONSHIRE,G62
EAST DUNBARTONSHIRE,G64
EAST DUNBARTONSHIRE,G65
EAST DUNBARTONSHIRE,G66
EAST DUNBARTONSHIRE,G81
EAST DUNBARTONSHIRE,G82
EAST DUNBARTONSHIRE,G83
EAST LOTHIAN,EH21
EAST LOTHIAN,EH22
EAST LOTHIAN,EH31
EAST LOTHIAN,EH32
EAST LOTHIAN,EH33
EAST LOTHIAN,EH34
EAST LOTHIAN,EH35
EAST LOTHIAN,EH36
EAST LOTHIAN,EH39
EAST LOTHIAN,EH40
EAST LOTHIAN,EH41
EAST LOTHIAN,EH42
EAST LOTHIAN,TD13
EAST RENFREWSHIRE,G46
EAST RENFREWSHIRE,G77
EAST RENFREWSHIRE,G78
EAST RENFREWSHIRE,PA1
EAST RENFREWSHIRE,PA3
EAST RENFREWSHIRE,PA4
EAST RENFREWSHIRE,PA5
EAST RENFREWSHIRE,PA6
EAST RENFREWSHIRE,PA7
EAST RENFREWSHIRE,PA8
EAST RENFREWSHIRE,PA9
EAST RENFREWSHIRE,PA10
EAST RENFREWSHIRE,PA11
EAST RENFREWSHIRE,PA12
EAST RENFREWSHIRE,PA14
EDINBURGH,EH1
EDINBURGH,EH2
EDINBURGH,EH3
EDINBURGH,EH4
EDINBURGH,EH5
EDINBURGH,EH6
EDINBURGH,EH7
EDINBURGH,EH8
EDINBURGH,EH9
EDINBURGH,EH10
EDINBURGH,EH12
EDINBURGH,EH13
EDINBURGH,EH14
EDINBURGH,EH15
EDINBURGH,EH16
EDINBURGH,EH17
EDINBURGH,EH20
EDINBURGH,EH21
EDINBURGH,EH28
EDINBURGH,EH29
EDINBURGH,EH30
FALKIRK,FK1
FALKIRK,FK2
FALKIRK,FK3
FALKIRK,FK4
FALKIRK,FK5
FALKIRK,FK6
FALKIRK,FK7
FALKIRK,FK8
FALKIRK,FK9
FALKIRK,FK10
FALKIRK,FK11
FALKIRK,FK12
FALKIRK,FK13
FALKIRK,FK14
FALKIRK,FK15
FALKIRK,FK16
FALKIRK,FK17
FALKIRK,FK18
FALKIRK,FK19
FALKIRK,FK20
FALKIRK,FK21
FIFE,DD6
FIFE,FK10
FIFE,KY1
FIFE,KY2
FIFE,KY3
FIFE,KY4
FIFE,KY5
FIFE,KY6
FIFE,KY7
FIFE,KY8
FIFE,KY9
FIFE,KY10
FIFE,KY11
FIFE,KY12
FIFE,KY13
FIFE,KY14
FIFE,KY15
FIFE,KY16
GLASGOW,G1
GLASGOW,G2
GLASGOW,G3
GLASGOW,G4
GLASGOW,G5
GLASGOW,G9
GLASGOW,G11
GLASGOW,G12
GLASGOW,G14
GLASGOW,G15
GLASGOW,G20
GLASGOW,G21
GLASGOW,G31
GLASGOW,G32
GLASGOW,G40
GLASGOW,G41
GLASGOW,G42
GLASGOW,G43
GLASGOW,G45
GLASGOW,G51
GLASGOW,G53
GLASGOW,G76
HIGHLAND,AB37
HIGHLAND,IV1
HIGHLAND,IV2
HIGHLAND,IV3
HIGHLAND,IV4
HIGHLAND,IV5
HIGHLAND,IV6
HIGHLAND,IV7
HIGHLAND,IV8
HIGHLAND,IV9
HIGHLAND,IV10
HIGHLAND,IV11
HIGHLAND,IV12
HIGHLAND,IV13
HIGHLAND,IV14
HIGHLAND,IV15
HIGHLAND,IV16
HIGHLAND,IV17
HIGHLAND,IV18
HIGHLAND,IV19
HIGHLAND,IV20
HIGHLAND,IV21
HIGHLAND,IV22
HIGHLAND,IV23
HIGHLAND,IV24
HIGHLAND,IV25
HIGHLAND,IV26
HIGHLAND,IV27
HIGHLAND,IV28
HIGHLAND,IV40
HIGHLAND,IV41
HIGHLAND,IV42
HIGHLAND,IV43
HIGHLAND,IV44
HIGHLAND,IV45
HIGHLAND,IV46
HIGHLAND,IV47
HIGHLAND,IV48
HIGHLAND,IV49
HIGHLAND,IV51
HIGHLAND,IV52
HIGHLAND,IV53
HIGHLAND,IV54
HIGHLAND,IV55
HIGHLAND,IV56
HIGHLAND,KW1
HIGHLAND,KW2
HIGHLAND,KW3
HIGHLAND,KW5
HIGHLAND,KW6
HIGHLAND,KW7
HIGHLAND,KW8
HIGHLAND,KW9
HIGHLAND,KW10
HIGHLAND,KW11
HIGHLAND,KW12
HIGHLAND,KW13
HIGHLAND,KW14
HIGHLAND,PA34
HIGHLAND,PA38
HIGHLAND,PA39
HIGHLAND,PA40
HIGHLAND,PH19
HIGHLAND,PH20
HIGHLAND,PH21
HIGHLAND,PH22
HIGHLAND,PH23
HIGHLAND,PH24
HIGHLAND,PH25
HIGHLAND,PH26
HIGHLAND,PH30
HIGHLAND,PH31
HIGHLAND,PH32
HIGHLAND,PH33
HIGHLAND,PH34
HIGHLAND,PH35
HIGHLAND,PH36
HIGHLAND,PH37
HIGHLAND,PH38
HIGHLAND,PH39
HIGHLAND,PH40
HIGHLAND,PH41
HIGHLAND,PH42
HIGHLAND,PH43
HIGHLAND,PH44
INVERCLYDE,PA10
INVERCLYDE,PA11
INVERCLYDE,PA13
INVERCLYDE,PA14
INVERCLYDE,PA15
INVERCLYDE,PA16
INVERCLYDE,PA18
INVERCLYDE,PA19
MIDLOTHIAN,EH10
MIDLOTHIAN,EH18
MIDLOTHIAN,EH19
MIDLOTHIAN,EH20
MIDLOTHIAN,EH22
MIDLOTHIAN,EH23
MIDLOTHIAN,EH24
MIDLOTHIAN,EH25
MIDLOTHIAN,EH26
MIDLOTHIAN,EH37
MIDLOTHIAN,EH46
MORAY,AB37
MORAY,AB38
MORAY,AB56
MORAY,IV30
MORAY,IV31
MORAY,IV32
MORAY,IV36
MORAY,PH26
NORTH LANARKSHIRE,EH46
NORTH LANARKSHIRE,EH55
NORTH LANARKSHIRE,G33
NORTH LANARKSHIRE,G65
NORTH LANARKSHIRE,G66
NORTH LANARKSHIRE,G67
NORTH LANARKSHIRE,G68
NORTH LANARKSHIRE,G69
NORTH LANARKSHIRE,G71
NORTH LANARKSHIRE,G72
NORTH LANARKSHIRE,G73
NORTH LANARKSHIRE,G74
NORTH LANARKSHIRE,G75
NORTH LANARKSHIRE,ML1
NORTH LANARKSHIRE,ML2
NORTH LANARKSHIRE,ML3
NORTH LANARKSHIRE,ML4
NORTH LANARKSHIRE,ML5
NORTH LANARKSHIRE,ML6
NORTH LANARKSHIRE,ML7
NORTH LANARKSHIRE,ML8
NORTH LANARKSHIRE,ML9
NORTH LANARKSHIRE,ML10
NORTH LANARKSHIRE,ML11
NORTH LANARKSHIRE,ML12
ORKNEY,KW1
ORKNEY,KW15
ORKNEY,KW16
ORKNEY,KW17
PERTH AND KINROSS,DD2
PERTH AND KINROSS,FK14
PERTH AND KINROSS,FK15
PERTH AND KINROSS,FK19
PERTH AND KINROSS,FK21
PERTH AND KINROSS,KY13
PERTH AND KINROSS,PH1
PERTH AND KINROSS,PH2
PERTH AND KINROSS,PH3
PERTH AND KINROSS,PH4
PERTH AND KINROSS,PH5
PERTH AND KINROSS,PH6
PERTH AND KINROSS,PH7
PERTH AND KINROSS,PH8
PERTH AND KINROSS,PH9
PERTH AND KINROSS,PH10
PERTH AND KINROSS,PH11
PERTH AND KINROSS,PH12
PERTH AND KINROSS,PH13
PERTH AND KINROSS,PH14
PERTH AND KINROSS,PH15
PERTH AND KINROSS,PH16
PERTH AND KINROSS,PH17
PERTH AND KINROSS,PH18
SCOTTISH BORDERS,EH26
SCOTTISH BORDERS,EH38
SCOTTISH BORDERS,EH43
SCOTTISH BORDERS,EH44
SCOTTISH BORDERS,EH45
SCOTTISH BORDERS,EH46
SCOTTISH BORDERS,ML12
SCOTTISH BORDERS,TD1
SCOTTISH BORDERS,TD2
SCOTTISH BORDERS,TD3
SCOTTISH BORDERS,TD4
SCOTTISH BORDERS,TD5
SCOTTISH BORDERS,TD6
SCOTTISH BORDERS,TD7
SCOTTISH BORDERS,TD8
SCOTTISH BORDERS,TD9
SCOTTISH BORDERS,TD10
SCOTTISH BORDERS,TD11
SCOTTISH BORDERS,TD12
SCOTTISH BORDERS,TD13
SCOTTISH BORDERS,TD14
SCOTTISH BORDERS,TD15
SHETLAND ISLES,ZE1
SHETLAND ISLES,ZE2
SHETLAND ISLES,ZE3
STIRLINGSHIRE,FK6
STIRLINGSHIRE,FK7
STIRLINGSHIRE,FK8
STIRLINGSHIRE,FK9
STIRLINGSHIRE,FK15
STIRLINGSHIRE,FK16
STIRLINGSHIRE,FK17
STIRLINGSHIRE,FK18
STIRLINGSHIRE,FK19
STIRLINGSHIRE,FK20
STIRLINGSHIRE,FK21
STIRLINGSHIRE,G63
WEST LOTHIAN,EH27
WEST LOTHIAN,EH30
WEST LOTHIAN,EH47
WEST LOTHIAN,EH48
WEST LOTHIAN,EH49
WEST LOTHIAN,EH52
WEST LOTHIAN,EH53
WEST LOTHIAN,EH54
WEST LOTHIAN,EH55
WESTERN ISLES,HS1
WESTERN ISLES,HS2
WESTERN ISLES,HS3
WESTERN ISLES,HS4
WESTERN ISLES,HS5
WESTERN ISLES,HS6
WESTERN ISLES,HS7
WESTERN ISLES,HS8
WESTERN ISLES,HS9
